detector,group,condition,camouflage,gamma,auc_mean,auc_std,auc_min,auc_max,ap_mean,ap_std,n_seeds,auc,ap
CoLA,indirect,B,global,0.0,0.5777684210526315,0.06941280745896379,0.4848,0.6481894736842105,0.05710063230909396,0.008524955089500495,5,0.5777684210526315,0.05710063230909396
CoLA,indirect,B,global,0.1,0.5122736842105263,0.07556098159141506,0.4482947368421053,0.6227157894736842,0.049337722620319095,0.008053676626753555,5,0.5122736842105263,0.049337722620319095
CoLA,indirect,B,global,0.2,0.5448168421052632,0.030026556666776796,0.5090736842105263,0.5765894736842105,0.052116048610070374,0.0050577340370609345,5,0.5448168421052632,0.052116048610070374
CoLA,indirect,B,global,0.3,0.6425094736842105,0.10104294185999829,0.5267578947368421,0.7812,0.07001841583498097,0.021808674958273135,5,0.6425094736842105,0.07001841583498097
CoLA,indirect,B,global,0.4,0.6007242105263157,0.042521403051304876,0.5462315789473685,0.6645263157894736,0.059702305555190384,0.006812601498774056,5,0.6007242105263157,0.059702305555190384
CoLA,indirect,B,global,0.5,0.629221052631579,0.0656436413175668,0.5291789473684211,0.7043157894736842,0.06374484275647183,0.010777173120931564,5,0.629221052631579,0.06374484275647183
CoLA,indirect,B,global,0.6,0.6847031578947369,0.022526436792591916,0.656378947368421,0.7124842105263158,0.07227115411168514,0.0044377983971188514,5,0.6847031578947369,0.07227115411168514
CoLA,indirect,B,global,0.7,0.7388610526315789,0.06080233557257762,0.6647157894736841,0.8081684210526316,0.09420344279013251,0.020927408053878653,5,0.7388610526315789,0.09420344279013251
CoLA,indirect,B,global,0.8,0.7921263157894737,0.01061030701527761,0.7796210526315789,0.8052842105263158,0.10845249486755822,0.004853341528485327,5,0.7921263157894737,0.10845249486755822
CoLA,indirect,B,global,0.9,0.8231473684210526,0.019630794396627422,0.8006947368421052,0.8452526315789474,0.13494754190479455,0.01870587999452516,5,0.8231473684210526,0.13494754190479455
CoLA,indirect,B,global,1.0,0.8220147368421052,0.022942560577942903,0.794978947368421,0.8458947368421054,0.13650466313395035,0.014387435057034053,5,0.8220147368421052,0.13650466313395035
CoLA,indirect,B,local,0.0,0.4880210526315789,0.05171724959640812,0.4299157894736842,0.5456842105263158,0.045948985815862896,0.004721655986930868,5,0.4880210526315789,0.045948985815862896
CoLA,indirect,B,local,0.1,0.5449263157894737,0.07078410232018376,0.4383157894736842,0.6301894736842105,0.05309189017953721,0.00798371559780515,5,0.5449263157894737,0.05309189017953721
CoLA,indirect,B,local,0.2,0.5972463157894736,0.036709485818116123,0.5502736842105264,0.6415578947368421,0.06011471569512748,0.0061018054202245445,5,0.5972463157894736,0.06011471569512748
CoLA,indirect,B,local,0.3,0.596301052631579,0.06473814701295022,0.5127157894736842,0.6921894736842105,0.06307540192042313,0.0178841043300042,5,0.596301052631579,0.06307540192042313
CoLA,indirect,B,local,0.4,0.6267621052631579,0.04066402958314703,0.5606947368421052,0.6645263157894736,0.06432721237758904,0.005974583322944094,5,0.6267621052631579,0.06432721237758904
CoLA,indirect,B,local,0.5,0.6847873684210526,0.0677680410708597,0.6054315789473683,0.7521684210526316,0.08150579065824304,0.014605723524562176,5,0.6847873684210526,0.08150579065824304
CoLA,indirect,B,local,0.6,0.7192547368421053,0.04868432910369624,0.6561473684210526,0.7710315789473685,0.09423574971855858,0.02851985009766436,5,0.7192547368421053,0.09423574971855858
CoLA,indirect,B,local,0.7,0.7902168421052631,0.029601354689371612,0.7432105263157895,0.8196631578947369,0.12761790166232495,0.021308819799772245,5,0.7902168421052631,0.12761790166232495
CoLA,indirect,B,local,0.8,0.8411200000000001,0.02223023022224627,0.8150105263157895,0.8751578947368421,0.1735875039717826,0.03852763126814385,5,0.8411200000000001,0.1735875039717826
CoLA,indirect,B,local,0.9,0.8718610526315789,0.009372992379682386,0.8598736842105263,0.885957894736842,0.23093152049865634,0.04433326068714553,5,0.8718610526315789,0.23093152049865634
CoLA,indirect,B,local,1.0,0.8884905263157895,0.020846463659129538,0.8642526315789474,0.9133894736842104,0.24332115166368223,0.05805383445012958,5,0.8884905263157895,0.24332115166368223
CoLA,indirect,C,none,0.0,0.6288042105263159,0.0449086864241596,0.5860210526315789,0.7033263157894738,0.0662290558434109,0.011421301775464233,5,0.6288042105263159,0.0662290558434109
DOMINANT,indirect,A,global,0.0,0.6528926315789474,0.02673128661719315,0.6128210526315788,0.684442105263158,0.1031791542334372,0.015576561181980378,5,0.6528926315789474,0.1031791542334372
DOMINANT,indirect,A,global,0.1,0.47990736842105264,0.030626042545429572,0.4421684210526315,0.5108842105263158,0.05160539268827372,0.008172732575669372,5,0.47990736842105264,0.05160539268827372
DOMINANT,indirect,A,global,0.2,0.2637810526315789,0.05709380452584553,0.1892210526315789,0.3396,0.03200621776280236,0.002243511915136874,5,0.2637810526315789,0.03200621776280236
DOMINANT,indirect,A,global,0.3,0.11424421052631575,0.025015840300257292,0.0911157894736842,0.1554526315789473,0.02747590405419864,0.0006026938582257254,5,0.11424421052631575,0.02747590405419864
DOMINANT,indirect,A,global,0.4,0.02703999999999996,0.011883101901579608,0.0154105263157894,0.0448842105263158,0.026149123527106678,0.00010742816547763575,5,0.02703999999999996,0.026149123527106678
DOMINANT,indirect,A,global,0.5,0.00867368421052628,0.008994673708626335,0.0028,0.0241894736842105,0.025977574195342718,6.3978944681842e-05,5,0.00867368421052628,0.025977574195342718
DOMINANT,indirect,A,global,0.6,0.00015999999999999822,0.00031176381428939763,0.0,0.0007157894736842,0.02592779436918654,1.2002103843003123e-06,5,0.00015999999999999822,0.02592779436918654
DOMINANT,indirect,A,global,0.7,0.0,0.0,0.0,0.0,0.025927235583944296,0.0,5,0.0,0.025927235583944296
DOMINANT,indirect,A,global,0.8,0.0,0.0,0.0,0.0,0.025927235583944296,0.0,5,0.0,0.025927235583944296
DOMINANT,indirect,A,global,0.9,0.0,0.0,0.0,0.0,0.025927235583944296,0.0,5,0.0,0.025927235583944296
DOMINANT,indirect,A,global,1.0,0.0,0.0,0.0,0.0,0.025927235583944296,0.0,5,0.0,0.025927235583944296
DOMINANT,indirect,A,local,0.0,0.6879452631578947,0.021606932302983353,0.6671157894736842,0.7196631578947368,0.12353356579377457,0.02438426623007871,5,0.6879452631578947,0.12353356579377457
DOMINANT,indirect,A,local,0.1,0.4682821052631579,0.08911826696544999,0.3240631578947368,0.5557684210526316,0.05390052210896432,0.0188634031542317,5,0.4682821052631579,0.05390052210896432
DOMINANT,indirect,A,local,0.2,0.1931410526315789,0.016783796433306786,0.1671368421052631,0.2088421052631579,0.0294424178027183,0.0005639427804918902,5,0.1931410526315789,0.0294424178027183
DOMINANT,indirect,A,local,0.3,0.08047999999999995,0.012038124111877392,0.0634315789473684,0.091157894736842,0.026900536438164518,0.0001315502039008934,5,0.08047999999999995,0.026900536438164518
DOMINANT,indirect,A,local,0.4,0.024677894736842083,0.009019945888014783,0.0139578947368421,0.0378736842105263,0.02613530828784082,5.688774425690046e-05,5,0.024677894736842083,0.02613530828784082
DOMINANT,indirect,A,local,0.5,0.0067199999999999595,0.0028172558896774696,0.0034526315789473,0.0106947368421052,0.02596328157261512,1.5842182186480588e-05,5,0.0067199999999999595,0.02596328157261512
DOMINANT,indirect,A,local,0.6,0.0017010526315789,0.0011817072958071953,0.0003157894736842,0.0035368421052631,0.025934507583852462,4.602111451454667e-06,5,0.0017010526315789,0.025934507583852462
DOMINANT,indirect,A,local,0.7,0.0004252631578946989,0.00023320006747025104,4.2105263157894426e-05,0.0006105263157894,0.0259285372900748,1.2943673239872216e-06,5,0.0004252631578946989,0.0259285372900748
DOMINANT,indirect,A,local,0.8,0.0003831578947368063,0.0003577089300958885,6.315789473684274e-05,0.0008631578947368,0.025928686780289822,1.8963047240266264e-06,5,0.0003831578947368063,0.025928686780289822
DOMINANT,indirect,A,local,0.9,0.00144842105263154,0.0011421319424484945,0.0001894736842105,0.0025684210526315,0.0259342143492364,6.042555569703507e-06,5,0.00144842105263154,0.0259342143492364
DOMINANT,indirect,A,local,1.0,0.0034105263157894203,0.0032684168149815693,0.0009894736842105,0.0091368421052631,0.025950929922854797,3.251350003754503e-05,5,0.0034105263157894203,0.025950929922854797
DOMINANT,indirect,B,global,0.0,0.9999368421052631,6.315789473688993e-05,0.9998526315789472,1.0,0.9989161793372319,0.0010664033052670248,5,0.9999368421052631,0.9989161793372319
DOMINANT,indirect,B,global,0.1,0.9997263157894736,0.0001263157894736854,0.999621052631579,0.9999157894736842,0.9954293028308919,0.002304644405434342,5,0.9997263157894736,0.9954293028308919
DOMINANT,indirect,B,global,0.2,0.9986273684210527,0.0011098551226856673,0.9969052631578948,0.9996,0.9802368823587606,0.01880203385581004,5,0.9986273684210527,0.9802368823587606
DOMINANT,indirect,B,global,0.3,0.99168,0.003686778052713859,0.988042105263158,0.9969052631578948,0.8874715278272161,0.055802258889568294,5,0.99168,0.8874715278272161
DOMINANT,indirect,B,global,0.4,0.9675705263157894,0.021151769734017226,0.934757894736842,0.9885052631578948,0.6522282364113072,0.17002268897507047,5,0.9675705263157894,0.6522282364113072
DOMINANT,indirect,B,global,0.5,0.9246084210526316,0.015257484244945625,0.9083368421052632,0.9480631578947368,0.34944424951432657,0.06349967127820147,5,0.9246084210526316,0.34944424951432657
DOMINANT,indirect,B,global,0.6,0.7418442105263157,0.049933060121274346,0.669136842105263,0.7965263157894736,0.09506862565531642,0.02021721168818904,5,0.7418442105263157,0.09506862565531642
DOMINANT,indirect,B,global,0.7,0.5618021052631579,0.04628603733392564,0.5146736842105264,0.6210736842105262,0.05278922062900604,0.005541889292381572,5,0.5618021052631579,0.05278922062900604
DOMINANT,indirect,B,global,0.8,0.29574736842105265,0.12415250830554958,0.1818315789473684,0.4745052631578947,0.0346820496753093,0.005962094579287813,5,0.29574736842105265,0.0346820496753093
DOMINANT,indirect,B,global,0.9,0.22351789473684208,0.05993120913392992,0.1417473684210526,0.2935052631578947,0.0311288113194453,0.0017205012057094856,5,0.22351789473684208,0.0311288113194453
DOMINANT,indirect,B,global,1.0,0.14323789473684206,0.016841272347825433,0.1194526315789473,0.1659578947368421,0.028695763438554123,0.00042869821648881665,5,0.14323789473684206,0.028695763438554123
DOMINANT,indirect,B,local,0.0,0.9998568421052632,0.0002742504264333988,0.9993684210526316,1.0,0.9981951535331113,0.0032170649680032777,5,0.9998568421052632,0.9981951535331113
DOMINANT,indirect,B,local,0.1,0.9991073684210526,0.0010365722331124926,0.9973684210526316,0.999957894736842,0.98810163796041,0.014915463131996511,5,0.9991073684210526,0.98810163796041
DOMINANT,indirect,B,local,0.2,0.9986147368421052,0.0010290409164635237,0.9974736842105264,0.9998526315789472,0.982836028801642,0.009350272057661682,5,0.9986147368421052,0.982836028801642
DOMINANT,indirect,B,local,0.3,0.9944842105263157,0.0029261264611225943,0.9897684210526316,0.9967157894736842,0.930786791341274,0.02543557197753068,5,0.9944842105263157,0.930786791341274
DOMINANT,indirect,B,local,0.4,0.9848800000000001,0.006463216183519032,0.978042105263158,0.9944631578947368,0.8055547873296813,0.07494882903269039,5,0.9848800000000001,0.8055547873296813
DOMINANT,indirect,B,local,0.5,0.9813936842105264,0.007434402326356741,0.9717052631578946,0.9912,0.7395869553872403,0.08819546378784797,5,0.9813936842105264,0.7395869553872403
DOMINANT,indirect,B,local,0.6,0.9597978947368422,0.006750308908495253,0.9501473684210526,0.9656631578947368,0.5929942848475681,0.041669503717425824,5,0.9597978947368422,0.5929942848475681
DOMINANT,indirect,B,local,0.7,0.9518526315789474,0.023802627942160218,0.9094736842105264,0.9662947368421052,0.5463591151208209,0.05579786001507023,5,0.9518526315789474,0.5463591151208209
DOMINANT,indirect,B,local,0.8,0.978178947368421,0.012754741663516676,0.9571894736842104,0.986778947368421,0.7029045147355881,0.07891014718653362,5,0.978178947368421,0.7029045147355881
DOMINANT,indirect,B,local,0.9,0.9781642105263157,0.012641736267019518,0.962336842105263,0.9913052631578948,0.7182719929051357,0.10211246093059387,5,0.9781642105263157,0.7182719929051357
DOMINANT,indirect,B,local,1.0,0.9835705263157895,0.01871533123587971,0.9522105263157896,0.9977263157894736,0.8253957619476815,0.11691085757515361,5,0.9835705263157895,0.8253957619476815
DOMINANT,indirect,C,none,0.0,0.9438736842105262,0.015327537545288133,0.9223157894736842,0.9595368421052632,0.6046000342490339,0.07032304145394562,5,0.9438736842105262,0.6046000342490339
DONE,indirect,A,global,0.0,0.7511789473684211,0.030403138050604267,0.7236210526315789,0.7926315789473685,0.11189459902156099,0.009839423737604944,5,0.7511789473684211,0.11189459902156099
DONE,indirect,A,global,0.1,0.6212799999999999,0.02809202684569359,0.5755157894736842,0.6508631578947369,0.07593526745697268,0.01281696974376923,5,0.6212799999999999,0.07593526745697268
DONE,indirect,A,global,0.2,0.4492715789473684,0.06066478001794813,0.3676210526315789,0.5353473684210526,0.05598913315126762,0.014589312815525578,5,0.4492715789473684,0.05598913315126762
DONE,indirect,A,global,0.3,0.35562105263157895,0.06448741336101532,0.2793894736842106,0.4245263157894737,0.04078647882755896,0.008806828267532044,5,0.35562105263157895,0.04078647882755896
DONE,indirect,A,global,0.4,0.21517473684210522,0.04537139909629943,0.1722526315789473,0.2868842105263158,0.03627665105822736,0.007339803760554746,5,0.21517473684210522,0.03627665105822736
DONE,indirect,A,global,0.5,0.169818947368421,0.052466236287144724,0.1120421052631579,0.2431368421052631,0.04389085809451122,0.023766453398249877,5,0.169818947368421,0.04389085809451122
