detector,camouflage,gamma,n_seeds,full,full_std,no_edges,no_edges_std,rand_feats,rand_feats_std,reliance,reliance_std,attr_share
AnomalyDAE,local,1.0,5,0.035014736842105265,0.0495875026700542,0.11850105263157898,0.10860831493040558,0.4854821052631578,0.01947687370750964,-0.08348631578947371,0.11939299180887793,-0.9687777314957349
CoLA,global,0.0,5,0.7082147368421052,0.04831478132189803,0.4204126315789473,0.04190270381798313,0.49484210526315786,0.043682782475072984,0.2878021052631579,0.06395431714466542,1.0
CoLA,global,0.1,5,0.7129136842105263,0.025333584291899726,0.4562273684210526,0.055556954181225034,0.4611705263157894,0.05203862533076551,0.25668631578947365,0.06106034434041071,1.0
CoLA,global,0.2,5,0.7051284210526315,0.060989692785246775,0.5141936842105264,0.06354968549344513,0.49324210526315787,0.028049750024809406,0.19093473684210516,0.08808124177345919,1.0
CoLA,global,0.3,5,0.7575284210526316,0.034526256739358975,0.5794063157894737,0.05377477273615835,0.49217684210526313,0.027498212885774177,0.17812210526315797,0.06390452712646899,1.0
CoLA,global,0.4,5,0.7320673684210527,0.04667432850966635,0.6768926315789473,0.049775670947587954,0.4871578947368421,0.04014490650139246,0.05517473684210539,0.06823569711016958,1.0
CoLA,global,0.5,5,0.7541347368421052,0.019229136479589813,0.7874526315789474,0.028182495893590474,0.4910189473684211,0.03572237239037566,-0.03331789473684221,0.0341176312856408,1.0
CoLA,global,0.6,5,0.7856631578947368,0.012244218489825874,0.8873599999999999,0.023167598923695083,0.4830105263157895,0.05429072453083588,-0.10169684210526309,0.026204170017685952,1.0
CoLA,global,0.7,5,0.7741810526315789,0.03113472324736083,0.9551663157894736,0.014092795747003475,0.4907831578947368,0.02993678066467899,-0.18098526315789476,0.03417569141446168,1.0
CoLA,global,0.8,5,0.781861052631579,0.01602282720651232,0.9779242105263158,0.004019911659563251,0.49751157894736836,0.017793692430316678,-0.19606315789473683,0.016519403180516055,1.0
CoLA,global,0.9,5,0.8002147368421053,0.014629438692386481,0.9865431578947369,0.0014378654539670957,0.5105094736842105,0.029245698691718072,-0.1863284210526316,0.014699929711328783,0.9649934783523373
CoLA,global,1.0,5,0.8045347368421053,0.011226804095284896,0.9882694736842105,0.0032029556986877344,0.49350315789473687,0.03585412303353906,-0.18373473684210517,0.011674761470867915,1.0
CoLA,local,0.0,5,0.6893305263157895,0.023894121948962913,0.3746442105263158,0.03763233595116405,0.5098652631578948,0.024801204510111162,0.3146863157894737,0.04457714406344562,0.9478939643286034
CoLA,local,0.1,5,0.7052547368421053,0.0391880998387912,0.4163915789473684,0.06278132227496326,0.4862947368421053,0.024433218385321614,0.2888631578947369,0.07400811844364012,1.0
CoLA,local,0.2,5,0.6948421052631579,0.04504622925487884,0.5436505263157895,0.04224767127939549,0.5052126315789474,0.025682849834534904,0.15119157894736845,0.06175782135580044,0.9732468935710428
CoLA,local,0.3,5,0.6856926315789474,0.05912677885560256,0.5800757894736842,0.0543138343181362,0.4652378947368421,0.049326103285927216,0.10561684210526323,0.08028678954957211,1.0
CoLA,local,0.4,5,0.6944147368421053,0.02623732048341799,0.6305389473684211,0.05386825130459458,0.4887789473684211,0.021210696094396873,0.06387578947368422,0.059918156553456656,1.0
CoLA,local,0.5,5,0.6333305263157895,0.01217896465449349,0.7892210526315789,0.07447572175007036,0.4632547368421053,0.021106948876110112,-0.15589052631578948,0.07546496081128848,1.0
CoLA,local,0.6,5,0.631538947368421,0.059661081752682595,0.8479831578947368,0.02944571755872958,0.48125473684210524,0.023733649452696657,-0.2164442105263158,0.06653190932514076,1.0
CoLA,local,0.7,5,0.6278357894736841,0.04906031880131259,0.9151094736842106,0.009653141236616819,0.5118947368421052,0.033286157937636895,-0.28727368421052646,0.05000098015659791,0.9069529989130799
CoLA,local,0.8,5,0.5453557894736842,0.033445392214590884,0.9319578947368422,0.017088208501949392,0.4917747368421052,0.03773604609011436,-0.38660210526315797,0.03755797026190196,1.0
CoLA,local,0.9,5,0.5236042105263158,0.07578324740506717,0.9244168421052631,0.021700634556763663,0.47928,0.038314711957087334,-0.4008126315789473,0.0788290436794956,1.0
CoLA,local,1.0,5,0.5091136842105263,0.02843162025757434,0.8839915789473685,0.04390215979139328,0.4752042105263158,0.028797946987459376,-0.3748778947368422,0.0523044612324794,1.0
DOMINANT,global,0.0,5,0.9778947368421053,0.02149114357305265,0.7172715789473684,0.03460721139202651,0.4909178947368421,0.03115250522377697,0.2606231578947369,0.040737308850855275,1.0
DOMINANT,global,0.1,5,0.9386821052631579,0.03800257055017532,0.4816715789473685,0.08718014412173147,0.4908968421052632,0.03145317620891108,0.45701052631578937,0.09510295945714267,1.0
DOMINANT,global,0.2,5,0.8790568421052631,0.040278846341521214,0.32533894736842106,0.06754352998780339,0.4909094736842105,0.03070895418336503,0.5537178947368421,0.07864168046155405,1.0
DOMINANT,global,0.3,5,0.7964210526315789,0.04547791403329689,0.14879578947368421,0.010087598595769106,0.4909978947368421,0.030908947148850206,0.6476252631578947,0.04658326212545988,1.0
DOMINANT,global,0.4,5,0.6207284210526316,0.07942838946265737,0.04619368421052632,0.021558570096329156,0.49125052631578947,0.029867087287633046,0.5745347368421053,0.08230213239782988,1.0
DOMINANT,global,0.5,5,0.5207536842105263,0.0791274401102004,0.008694736842105269,0.002860912432179341,0.49077473684210526,0.03076403771647178,0.512058947368421,0.07917914244507798,1.0
