detector,group,condition,camouflage,gamma,seed,n_nodes,auc,ap
CoLA,indirect,A,global,0.8,1,1000,0.8199368421052632,0.3940451759683654
CoLA,indirect,A,global,0.8,2,1000,0.8311368421052632,0.4055267121869284
CoLA,indirect,A,global,0.8,3,1000,0.8035789473684211,0.3349213111365443
CoLA,indirect,A,global,0.8,4,1000,0.7662736842105263,0.2809433174550125
CoLA,indirect,A,global,0.9,0,1000,0.7659368421052632,0.2272851122596804
CoLA,indirect,A,global,0.9,1,1000,0.7972,0.2923330462314036
CoLA,indirect,A,global,0.9,2,1000,0.8433263157894737,0.4271363841186769
CoLA,indirect,A,global,0.9,3,1000,0.7745894736842105,0.2672973690931945
CoLA,indirect,A,global,0.9,4,1000,0.8444631578947368,0.437090949003337
CoLA,indirect,A,global,1.0,0,1000,0.8654526315789473,0.4105145176007266
CoLA,indirect,A,global,1.0,1,1000,0.8298105263157896,0.3346165040538626
CoLA,indirect,A,global,1.0,2,1000,0.779242105263158,0.3231231157009497
CoLA,indirect,A,global,1.0,3,1000,0.8102947368421052,0.2964539795064804
CoLA,indirect,A,global,1.0,4,1000,0.7892421052631579,0.3271823701157403
DOMINANT,indirect,A,global,0.0,0,1000,0.6674105263157895,0.084414457534431
DOMINANT,indirect,A,global,0.0,1,1000,0.684442105263158,0.1063522250883921
DOMINANT,indirect,A,global,0.0,2,1000,0.6461263157894737,0.1216005210273437
DOMINANT,indirect,A,global,0.0,3,1000,0.6128210526315788,0.0902537594287849
DOMINANT,indirect,A,global,0.0,4,1000,0.653663157894737,0.1132748080882343
DOMINANT,indirect,A,global,0.1,0,1000,0.4421684210526315,0.0420162352857311
DOMINANT,indirect,A,global,0.1,1,1000,0.5007578947368421,0.0489372647968487
DOMINANT,indirect,A,global,0.1,2,1000,0.5108842105263158,0.0645125914350808
DOMINANT,indirect,A,global,0.1,3,1000,0.4932842105263158,0.0520855482646485
DOMINANT,indirect,A,global,0.1,4,1000,0.4524421052631578,0.0504753236590595
DOMINANT,indirect,A,global,0.2,0,1000,0.2534947368421053,0.031395502986097
DOMINANT,indirect,A,global,0.2,1,1000,0.3396,0.0350815568397019
DOMINANT,indirect,A,global,0.2,2,1000,0.2964421052631579,0.0333208326237246
DOMINANT,indirect,A,global,0.2,3,1000,0.1892210526315789,0.0292700867156835
DOMINANT,indirect,A,global,0.2,4,1000,0.2401473684210526,0.0309631096488048
DOMINANT,indirect,A,global,0.3,0,1000,0.1134315789473684,0.0275336133402194
DOMINANT,indirect,A,global,0.3,1,1000,0.1554526315789473,0.0284851617213841
DOMINANT,indirect,A,global,0.3,2,1000,0.1133684210526316,0.0273025042788957
DOMINANT,indirect,A,global,0.3,3,1000,0.0911157894736842,0.0270585272137774
DOMINANT,indirect,A,global,0.3,4,1000,0.0978526315789473,0.0269997137167166
DOMINANT,indirect,A,global,0.4,0,1000,0.0179368421052631,0.0261232956930198
DOMINANT,indirect,A,global,0.4,1,1000,0.0319578947368421,0.0261746836618527
DOMINANT,indirect,A,global,0.4,2,1000,0.0448842105263158,0.0263213039706633
DOMINANT,indirect,A,global,0.4,3,1000,0.0154105263157894,0.0260486801868126
DOMINANT,indirect,A,global,0.4,4,1000,0.0250105263157894,0.026077654123185
DOMINANT,indirect,A,global,0.5,0,1000,0.0028,0.0259475321650463
DOMINANT,indirect,A,global,0.5,1,1000,0.0038315789473684,0.0259466898343578
DOMINANT,indirect,A,global,0.5,2,1000,0.0241894736842105,0.0260915873378525
DOMINANT,indirect,A,global,0.5,3,1000,0.0036842105263157,0.0259436566801285
DOMINANT,indirect,A,global,0.5,4,1000,0.0088631578947368,0.0259584049593285
DOMINANT,indirect,A,global,0.6,0,1000,6.315789473684274e-05,0.0259273021361412
DOMINANT,indirect,A,global,0.6,1,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.6,2,1000,0.0007157894736842,0.0259299408205963
DOMINANT,indirect,A,global,0.6,3,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.6,4,1000,2.105263157894832e-05,0.0259272577213066
DOMINANT,indirect,A,global,0.7,0,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.7,1,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.7,2,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.7,3,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.7,4,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.8,0,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.8,1,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.8,2,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.8,3,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.8,4,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.9,0,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.9,1,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.9,2,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.9,3,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,0.9,4,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,1.0,0,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,1.0,1,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,1.0,2,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,1.0,3,1000,0.0,0.0259272355839443
DOMINANT,indirect,A,global,1.0,4,1000,0.0,0.0259272355839443
DONE,indirect,A,global,0.0,0,1000,0.7740842105263158,0.1113721087050337
DONE,indirect,A,global,0.0,1,1000,0.7357684210526315,0.1060186377948577
DONE,indirect,A,global,0.0,2,1000,0.7236210526315789,0.099193457528996
DONE,indirect,A,global,0.0,3,1000,0.7926315789473685,0.1193538335093662
DONE,indirect,A,global,0.0,4,1000,0.7297894736842105,0.1235349575695513
DONE,indirect,A,global,0.1,0,1000,0.6508631578947369,0.093938457112387
DONE,indirect,A,global,0.1,1,1000,0.5755157894736842,0.0580811754142738
DONE,indirect,A,global,0.1,2,1000,0.6346315789473684,0.0730136939779426
DONE,indirect,A,global,0.1,3,1000,0.6211368421052632,0.0763632490557439
DONE,indirect,A,global,0.1,4,1000,0.6242526315789473,0.0782797617245161
DONE,indirect,A,global,0.2,0,1000,0.3676210526315789,0.0475699248402173
DONE,indirect,A,global,0.2,1,1000,0.5353473684210526,0.0529314258818849
DONE,indirect,A,global,0.2,2,1000,0.4280842105263158,0.0514322617080662
