detector,camouflage,gamma,seed,n_seeds,condition,auc
AnomalyDAE,global,0.8,4,5,no_edges,0.0
AnomalyDAE,global,0.8,4,5,rand_feats,0.47345263157894735
AnomalyDAE,global,0.9,0,5,full,0.03103157894736844
AnomalyDAE,global,0.9,0,5,no_edges,0.0
AnomalyDAE,global,0.9,0,5,rand_feats,0.46229473684210526
AnomalyDAE,global,0.9,1,5,full,0.06084210526315789
AnomalyDAE,global,0.9,1,5,no_edges,0.0
AnomalyDAE,global,0.9,1,5,rand_feats,0.5201052631578947
AnomalyDAE,global,0.9,2,5,full,0.09136842105263157
AnomalyDAE,global,0.9,2,5,no_edges,0.0
AnomalyDAE,global,0.9,2,5,rand_feats,0.5230947368421053
AnomalyDAE,global,0.9,3,5,full,0.13210526315789473
AnomalyDAE,global,0.9,3,5,no_edges,0.0
AnomalyDAE,global,0.9,3,5,rand_feats,0.45016842105263155
AnomalyDAE,global,0.9,4,5,full,0.1368
AnomalyDAE,global,0.9,4,5,no_edges,0.0
AnomalyDAE,global,0.9,4,5,rand_feats,0.4837684210526316
AnomalyDAE,global,1.0,0,5,full,0.22865263157894736
AnomalyDAE,global,1.0,0,5,no_edges,0.0
AnomalyDAE,global,1.0,0,5,rand_feats,0.45216842105263155
AnomalyDAE,global,1.0,1,5,full,0.044926315789473696
AnomalyDAE,global,1.0,1,5,no_edges,0.0
AnomalyDAE,global,1.0,1,5,rand_feats,0.5037789473684211
AnomalyDAE,global,1.0,2,5,full,0.0636421052631579
AnomalyDAE,global,1.0,2,5,no_edges,0.0
AnomalyDAE,global,1.0,2,5,rand_feats,0.5193684210526316
AnomalyDAE,global,1.0,3,5,full,0.09513684210526316
AnomalyDAE,global,1.0,3,5,no_edges,0.0
AnomalyDAE,global,1.0,3,5,rand_feats,0.44490526315789475
AnomalyDAE,global,1.0,4,5,full,0.07191578947368422
AnomalyDAE,global,1.0,4,5,no_edges,0.0
AnomalyDAE,global,1.0,4,5,rand_feats,0.47934736842105263
AnomalyDAE,local,0.0,0,5,full,0.9885684210526315
AnomalyDAE,local,0.0,0,5,no_edges,0.6320842105263158
AnomalyDAE,local,0.0,0,5,rand_feats,0.45399999999999996
AnomalyDAE,local,0.0,1,5,full,0.994842105263158
AnomalyDAE,local,0.0,1,5,no_edges,0.6464842105263158
AnomalyDAE,local,0.0,1,5,rand_feats,0.528
AnomalyDAE,local,0.0,2,5,full,0.9960842105263158
AnomalyDAE,local,0.0,2,5,no_edges,0.0875578947368421
AnomalyDAE,local,0.0,2,5,rand_feats,0.5187368421052632
AnomalyDAE,local,0.0,3,5,full,0.9953052631578948
AnomalyDAE,local,0.0,3,5,no_edges,0.40006315789473684
AnomalyDAE,local,0.0,3,5,rand_feats,0.4414315789473684
AnomalyDAE,local,0.0,4,5,full,0.755557894736842
AnomalyDAE,local,0.0,4,5,no_edges,0.5802526315789474
AnomalyDAE,local,0.0,4,5,rand_feats,0.4732421052631579
AnomalyDAE,local,0.1,0,5,full,0.9414736842105264
AnomalyDAE,local,0.1,0,5,no_edges,0.43326315789473685
AnomalyDAE,local,0.1,0,5,rand_feats,0.46562105263157894
AnomalyDAE,local,0.1,1,5,full,0.9594947368421052
AnomalyDAE,local,0.1,1,5,no_edges,0.7220421052631578
AnomalyDAE,local,0.1,1,5,rand_feats,0.5114105263157895
AnomalyDAE,local,0.1,2,5,full,0.9574315789473684
AnomalyDAE,local,0.1,2,5,no_edges,0.18267368421052632
AnomalyDAE,local,0.1,2,5,rand_feats,0.5207157894736841
AnomalyDAE,local,0.1,3,5,full,0.9621052631578948
AnomalyDAE,local,0.1,3,5,no_edges,0.34585263157894736
AnomalyDAE,local,0.1,3,5,rand_feats,0.43298947368421054
AnomalyDAE,local,0.1,4,5,full,0.8666736842105263
AnomalyDAE,local,0.1,4,5,no_edges,0.3678526315789473
AnomalyDAE,local,0.1,4,5,rand_feats,0.47149473684210524
AnomalyDAE,local,0.2,0,5,full,0.8374526315789473
AnomalyDAE,local,0.2,0,5,no_edges,0.17806315789473684
AnomalyDAE,local,0.2,0,5,rand_feats,0.4722947368421053
AnomalyDAE,local,0.2,1,5,full,0.8708842105263158
AnomalyDAE,local,0.2,1,5,no_edges,0.2890105263157895
AnomalyDAE,local,0.2,1,5,rand_feats,0.5058947368421053
AnomalyDAE,local,0.2,2,5,full,0.862421052631579
AnomalyDAE,local,0.2,2,5,no_edges,0.2971368421052632
AnomalyDAE,local,0.2,2,5,rand_feats,0.5255157894736842
AnomalyDAE,local,0.2,3,5,full,0.8853684210526316
AnomalyDAE,local,0.2,3,5,no_edges,0.27549473684210524
AnomalyDAE,local,0.2,3,5,rand_feats,0.44105263157894736
AnomalyDAE,local,0.2,4,5,full,0.7180210526315789
AnomalyDAE,local,0.2,4,5,no_edges,0.23103157894736842
AnomalyDAE,local,0.2,4,5,rand_feats,0.4678315789473684
AnomalyDAE,local,0.3,0,5,full,0.5651368421052632
AnomalyDAE,local,0.3,0,5,no_edges,0.08658947368421055
AnomalyDAE,local,0.3,0,5,rand_feats,0.4724631578947368
AnomalyDAE,local,0.3,1,5,full,0.5785052631578946
AnomalyDAE,local,0.3,1,5,no_edges,0.12947368421052632
AnomalyDAE,local,0.3,1,5,rand_feats,0.515242105263158
AnomalyDAE,local,0.3,2,5,full,0.6150526315789473
AnomalyDAE,local,0.3,2,5,no_edges,0.20141052631578948
AnomalyDAE,local,0.3,2,5,rand_feats,0.4995157894736842
AnomalyDAE,local,0.3,3,5,full,0.6653052631578947
AnomalyDAE,local,0.3,3,5,no_edges,0.1938315789473684
AnomalyDAE,local,0.3,3,5,rand_feats,0.4433684210526316
AnomalyDAE,local,0.3,4,5,full,0.4514315789473684
AnomalyDAE,local,0.3,4,5,no_edges,0.1436
AnomalyDAE,local,0.3,4,5,rand_feats,0.46519999999999995
AnomalyDAE,local,0.4,0,5,full,0.24661052631578947
AnomalyDAE,local,0.4,0,5,no_edges,0.05322105263157896
AnomalyDAE,local,0.4,0,5,rand_feats,0.4741684210526316
AnomalyDAE,local,0.4,1,5,full,0.3206526315789474
AnomalyDAE,local,0.4,1,5,no_edges,0.2630105263157895
AnomalyDAE,local,0.4,1,5,rand_feats,0.5133473684210527
AnomalyDAE,local,0.4,2,5,full,0.30391578947368425
AnomalyDAE,local,0.4,2,5,no_edges,0.17572631578947367
AnomalyDAE,local,0.4,2,5,rand_feats,0.5073473684210527
AnomalyDAE,local,0.4,3,5,full,0.3694105263157894
AnomalyDAE,local,0.4,3,5,no_edges,0.1597263157894737
AnomalyDAE,local,0.4,3,5,rand_feats,0.43654736842105263
AnomalyDAE,local,0.4,4,5,full,0.1964210526315789
AnomalyDAE,local,0.4,4,5,no_edges,0.27444210526315793
AnomalyDAE,local,0.4,4,5,rand_feats,0.4692631578947369
AnomalyDAE,local,0.5,0,5,full,0.31288421052631576
AnomalyDAE,local,0.5,0,5,no_edges,0.2406736842105263
AnomalyDAE,local,0.5,0,5,rand_feats,0.45751578947368415
AnomalyDAE,local,0.5,1,5,full,0.05941052631578947
AnomalyDAE,local,0.5,1,5,no_edges,0.02997894736842106
AnomalyDAE,local,0.5,1,5,rand_feats,0.5009263157894737
AnomalyDAE,local,0.5,2,5,full,0.30187368421052635
AnomalyDAE,local,0.5,2,5,no_edges,0.012294736842105273
AnomalyDAE,local,0.5,2,5,rand_feats,0.5076421052631579
AnomalyDAE,local,0.5,3,5,full,0.35031578947368425
AnomalyDAE,local,0.5,3,5,no_edges,0.01821052631578948
AnomalyDAE,local,0.5,3,5,rand_feats,0.44088421052631577
AnomalyDAE,local,0.5,4,5,full,0.07869473684210526
AnomalyDAE,local,0.5,4,5,no_edges,0.03092631578947369
AnomalyDAE,local,0.5,4,5,rand_feats,0.4737684210526316
AnomalyDAE,local,0.6,0,5,full,0.0020421052631579006
AnomalyDAE,local,0.6,0,5,no_edges,0.0020000000000000083
AnomalyDAE,local,0.6,0,5,rand_feats,0.47385263157894736
AnomalyDAE,local,0.6,1,5,full,0.005052631578947373
AnomalyDAE,local,0.6,1,5,no_edges,0.0038736842105263156
AnomalyDAE,local,0.6,1,5,rand_feats,0.516378947368421
AnomalyDAE,local,0.6,2,5,full,0.013136842105263162
AnomalyDAE,local,0.6,2,5,no_edges,0.009831578947368427
AnomalyDAE,local,0.6,2,5,rand_feats,0.5191999999999999
AnomalyDAE,local,0.6,3,5,full,0.0057894736842105336
AnomalyDAE,local,0.6,3,5,no_edges,0.1779578947368421
AnomalyDAE,local,0.6,3,5,rand_feats,0.4398526315789474
AnomalyDAE,local,0.6,4,5,full,0.0034947368421052658
AnomalyDAE,local,0.6,4,5,no_edges,0.2033684210526316
AnomalyDAE,local,0.6,4,5,rand_feats,0.4693052631578948
AnomalyDAE,local,0.7,0,5,full,0.00025263157894736874
AnomalyDAE,local,0.7,0,5,no_edges,0.000673684210526313
AnomalyDAE,local,0.7,0,5,rand_feats,0.4609684210526316
AnomalyDAE,local,0.7,1,5,full,4.210526315789664e-05
AnomalyDAE,local,0.7,1,5,no_edges,0.23202105263157893
AnomalyDAE,local,0.7,1,5,rand_feats,0.5035157894736841
AnomalyDAE,local,0.7,2,5,full,0.0008842105263157918
AnomalyDAE,local,0.7,2,5,no_edges,0.0004210526315789487
AnomalyDAE,local,0.7,2,5,rand_feats,0.5133894736842105
AnomalyDAE,local,0.7,3,5,full,0.0
AnomalyDAE,local,0.7,3,5,no_edges,0.0014947368421052642
AnomalyDAE,local,0.7,3,5,rand_feats,0.4455157894736842
AnomalyDAE,local,0.7,4,5,full,0.00018947368421052825
AnomalyDAE,local,0.7,4,5,no_edges,0.001263157894736846
AnomalyDAE,local,0.7,4,5,rand_feats,0.46353684210526314
AnomalyDAE,local,0.8,0,5,full,0.0
AnomalyDAE,local,0.8,0,5,no_edges,0.0
AnomalyDAE,local,0.8,0,5,rand_feats,0.46008421052631576
AnomalyDAE,local,0.8,1,5,full,0.0
AnomalyDAE,local,0.8,1,5,no_edges,0.18804210526315784
AnomalyDAE,local,0.8,1,5,rand_feats,0.5161052631578947
AnomalyDAE,local,0.8,2,5,full,0.23111578947368422
AnomalyDAE,local,0.8,2,5,no_edges,0.0
AnomalyDAE,local,0.8,2,5,rand_feats,0.5117684210526315
AnomalyDAE,local,0.8,3,5,full,0.0
AnomalyDAE,local,0.8,3,5,no_edges,0.0
AnomalyDAE,local,0.8,3,5,rand_feats,0.4492842105263158
AnomalyDAE,local,0.8,4,5,full,2.105263157894832e-05
AnomalyDAE,local,0.8,4,5,no_edges,0.0
AnomalyDAE,local,0.8,4,5,rand_feats,0.46170526315789473
AnomalyDAE,local,0.9,0,5,full,0.0
AnomalyDAE,local,0.9,0,5,no_edges,0.0
AnomalyDAE,local,0.9,0,5,rand_feats,0.4776842105263158
AnomalyDAE,local,0.9,1,5,full,0.18932631578947368
AnomalyDAE,local,0.9,1,5,no_edges,0.19307368421052631
AnomalyDAE,local,0.9,1,5,rand_feats,0.5114736842105264
AnomalyDAE,local,0.9,2,5,full,0.20648421052631583
AnomalyDAE,local,0.9,2,5,no_edges,0.2532
AnomalyDAE,local,0.9,2,5,rand_feats,0.5206947368421053
AnomalyDAE,local,0.9,3,5,full,0.0
AnomalyDAE,local,0.9,3,5,no_edges,0.2910947368421053
